text,labels
"Hello, how are you?",0
"I'm doing great, thanks!",3
Can you help me with something?,9
Thanks for your assistance!,2
I'm not happy with the service.,8
You're doing a great job!,7
I'm looking for a new restaurant to try.,5
Can you speak in Spanish?,11
That's not what I meant.,4
Have a great day!,1
I'm so grateful for your help!,2
What can you do?,6
That's a great idea!,3
"Not really, I'm not sure.",4
Let's chat about the weather.,5
Your suggestions are very helpful.,7
I'm not satisfied with the result.,8
Can you explain that again?,9
That's a good suggestion.,10
You can improve by being more precise.,10
I'm happy to see you're working well.,3
I love the new features!,7
I'm looking forward to our next interaction.,1
How do you work?,6
I want to change the language to French.,11
Hi there! How are you doing today?,0
"Goodbye for now, see you tomorrow!",1
Thanks a lot for helping me with that issue!,2
"Yes, I agree with that plan. Let's proceed.",3
"No, that doesn't seem right to me at all.",4
"The weather has been lovely this week, hasn't it?",5
Can you tell me what features you have?,6
Your responses are always so quick and helpful!,7
This service is slower than I expected.,8
Could you explain that last point again?,9
Maybe you should add a dark mode option.,10
Can we switch to Spanish for this conversation?,11
Hey! What's new with you?,0
Take care and have a great weekend!,1
"I really appreciate your assistance, thank you!",2
"Absolutely, that's exactly what I need.",3
"I’m sorry, but I can’t accept that proposal.",4
Did you catch the game last night? It was intense!,5
What languages can you communicate in?,6
"Your update made the process much smoother, great job!",7
The interface is confusing and hard to navigate.,8
What did you mean by 'optimize the workflow'?,9
You should consider integrating voice commands.,10
Is it possible to use this in French instead?,11
Good morning! Ready to start the day?,0
"Hello, how are you?",0
"It was nice talking to you, bye!",1
Thank you for your help!,2
I agree with your statement.,3
I don't think that's correct.,4
How's the weather today?,5
What are your capabilities?,6
You did a great job!,7
I'm not satisfied with the service.,8
Can you explain that again?,9
Have you considered this idea?,10
Can we talk in Spanish?,11
"Hi, what's up?",0
See you later!,1
Thanks for your time!,2
I'm not sure about that.,4
How was your day?,5
What features do you have?,6
You're amazing!,7
I'm disappointed with the experience.,8
Can you repeat that?,9
Try this instead.,10
Can we speak in French?,11
Hi there! How are you doing today?,0
"See you later, take care!",1
Thanks so much for your help!,2
"That's correct, I agree with you.",3
I don't think that's accurate.,4
"So, who won the match yesterday?",5
