text,labels
hello how are you,1
im doing great thanks,1
can you help me with something,1
thanks for your assistance,1
im not happy with the service,1
youre doing a great job,1
im looking for a new restaurant to try,0
can you speak in spanish,1
thats not what i meant,1
have a great day,1
im so grateful for your help,1
thats a great idea,1
not really im not sure,1
lets chat about the weather,0
your suggestions are very helpful,1
im not satisfied with the result,1
can you explain that again,1
thats a good suggestion,1
you can improve by being more precise,1
im happy to see youre working well,1
i love the new features,1
im looking forward to our next interaction,1
i want to change the language to french,1
hi there how are you doing today,1
goodbye for now see you tomorrow,1
thanks a lot for helping me with that issue,1
yes i agree with that plan lets proceed,1
no that doesnt seem right to me at all,1
the weather has been lovely this week hasnt it,0
your responses are always so quick and helpful,1
this service is slower than i expected,1
could you explain that last point again,1
maybe you should add a dark mode option,1
can we switch to spanish for this conversation,1
hey whats new with you,1
take care and have a great weekend,1
i really appreciate your assistance thank you,1
absolutely thats exactly what i need,1
im sorry but i cant accept that proposal,1
did you catch the game last night it was intense,0
your update made the process much smoother great job,1
the interface is confusing and hard to navigate,1
what did you mean by optimize the workflow,1
you should consider integrating voice commands,1
is it possible to use this in french instead,1
good morning ready to start the day,1
it was nice talking to you bye,1
thank you for your help,1
i agree with your statement,1
i dont think thats correct,1
hows the weather today,0
you did a great job,1
im not satisfied with the service,1
have you considered this idea,1
can we talk in spanish,1
hi whats up,1
see you later,1
thanks for your time,1
im not sure about that,1
how was your day,0
youre amazing,1
im disappointed with the experience,1
can you repeat that,1
try this instead,1
can we speak in french,1
see you later take care,1
thanks so much for your help,1
thats correct i agree with you,1
i dont think thats accurate,1
so who won the match yesterday,0
i really enjoyed using this service,1
there were some issues with the last interaction,1
could you please repeat that for me again,1
maybe we could improve the ui design,1
can you switch to spanish please,1
hello whats up,1
goodbye have a great day,1
thank you for your support,1
i completely agree with your point of view,1
i disagree with your assessment,1
what did you do this weekend,0
this really helps streamline the process,1
i had some trouble logging in just now,1
can you clarify what you mean by unlimited,1
it might be better to add more faqs,1
could you provide more options for languages,1
im glad i stumbled upon this chatbot,1
i dont like the way this chatbot responds,1
can you help me with a question,1
i think you should add a feature to answer followup questions,1
thanks for your help it was really useful,1
im not sure i agree with that,1
do you have any tips for me,0
id like to switch to spanish please,1
youre really knowledgeable thanks for the info,1
im going to go now it was nice talking to you,1
can you explain that in more detail,1
i love the way this chatbot interacts with me,1
im having trouble with the chatbot can you help,1
i think you should improve your response time,1
hello is anyone there,1
im not satisfied with the answer can you try again,1
youre doing a great job keep it up,1
thanks for your time it was really helpful,1
im going to leave now see you later,1
im not sure i understand can you explain,1
im doing great thanks for asking,0
im not sure i understand can you clarify,1
thats a great idea i completely agree,1
im not interested in that thanks,1
how can i provide feedback on the service,1
i had a terrible experience with your bot,1
whats the purpose of this conversation,1
id like to change the language to spanish,1
goodbye it was nice talking to you,1
youre welcome happy to help,1
thats a great suggestion ill consider it,1
im not sure can you explain it again,1
id like to say thank you for your help,1
im happy to chat with you whats on your mind,0
i dont understand can you rephrase that,1
thats not what i meant can we start over,1
im looking forward to hearing from you again,0
what can you help me with today,0
your bot is really helpful thanks,1
thats a great idea lets do it,1
id like to provide some feedback,1
hello how are you today,1
i have a question about your product,1
can you tell me more about that,1
im really enjoying using your service,1
your support team is very helpful,1
can you speak spanish,1
im not sure i understand what you mean,1
no i dont think thats right,1
i didnt quite get that can you repeat,1
your product is amazing,1
im not interested in that,1
thats a great suggestion,1
do you have any tips for using your service,1
your support is really bad,1
thanks for your help,1
im just browsing,0
i love your product,1
can we chat about something else,0
can you help me with my order,1
im so happy with the service,1
this is terrible i demand a refund,1
i love the new features youve added,1
no i dont think thats a good idea,1
thats a great suggestion thank you,1
youre doing a fantastic job,1
i appreciate your help thanks,1
thats not what i wanted can you fix it,1
yes that sounds perfect,1
im so frustrated with this service,1
im not happy with the result,1
can you change to english please,1
youre really helpful thank you,1
im so glad i used your service,1
im done goodbye,1
i have a suggestion for improvement,1
hi there how can i assist you today,1
good afternoon hope youre having a great day,1
it was nice speaking with you have a great evening,1
thanks a lot for your help its really appreciated,1
that sounds perfect im on board with the plan,1
i dont think thats the right approach lets consider other options,1
by the way how are things going on your end,0
you did an amazing job im very satisfied with the service,1
i had a bit of trouble with the last interaction it was a bit confusing,1
could you explain how the new security measures work,1
i suggest adding a feature that allows users to save their progress,1
hello how are you doing today,1
ill be back tomorrow take care until then,1
your support has been invaluable thank you so much,1
absolutely thats a great idea lets do it,1
i dont think thats feasible given the current limitations,1
hows the weather where you are its sunny here,0
the service was excellent and i appreciate the quick response,1
there were a few glitches in the system that made it hard to use,1
can you clarify the steps for setting up the account,1
it might be helpful to include a tutorial for new users,1
could we continue this conversation in french,1
good morning how can i assist you today,1
its nice to talk to you,1
im leaving goodbye,1
i dont think thats a good idea,1
i think you should do this instead,1
im not sure what you mean by that,1
im disappointed with the service,1
lets talk about the weather,0
i agree with you on that,1
i dont agree with that at all,1
i think this is a good idea,1
im not happy with the response,1
youre very helpful,1
i want to report a problem,1
this is a great conversation,0
im looking for more information,1
you should improve this feature,1
goodbye have a nice day,1
im good thanks how about you,0
thank you so much for your help,1
i dont like the way youre handling this,1
i think you should consider adding more features,1
can we chat in spanish instead,1
no thats not correct,1
yes thats exactly what i needed,1
it was nice chatting with you goodbye,1
hi there its nice to meet you,1
i really appreciate your assistance,1
thats not what i was looking for,1
your responses are really helpful,1
lets discuss something else,0
im not sure about that can you provide more info,1
thats a great suggestion thanks,1
im happy to chat with you,0
i think youre really helpful,1
im glad i talked to you,1
have you tried this approach,1
i want to speak in spanish,1
yes i agree with you,1
i dont think thats true,1
it was nice talking to you,1
this conversation was helpful,1
im not satisfied with the response,1
you should try this instead,1
im looking for something else,0
im having trouble with the language,1
i disagree with that opinion,1
this was a waste of time,1
im happy to help,1
im glad i could help you,1
whats up,0
the service was terrible,1
how can i improve this experience,1
can you speak differently,1
hi its nice to meet you,1
i disagree with that,1
whats new with you,0
i loved the service,1
the experience was bad,1
how can i make this better,1
can you change the language,1
hello there how are you doing today,1
i appreciate the quick response thanks,1
goodbye it was nice speaking with you,1
sure that sounds great i agree,1
i dont think thats correct let me clarify,1
that was a really enjoyable experience,1
i had some issues with the customer service,1
can you explain how that works,1
perhaps we could try a different approach,1
have you thought about offering spanish language support,1
hey hows the weather in your area,0
yes i totally understand your point,1
i wanted to thank you for your help,1
it was nice seeing you take care,1
that seems reasonable sounds good,1
im afraid i cant agree with that opinion,1
this experience has been outstanding,1
i encountered some technical difficulties,1
can you provide a bit more context,1
maybe we should consider a new strategy,1
could we have a version available in french,1
just wanted to check how your day is going,0
absolutely that makes perfect sense,1
id like to provide some feedback on your service,1
i love how easy it is to use your bot,1
can you clarify what you mean by that,1
thanks for helping me,1
im not sure what you mean,1
im happy with the service,1
id like to provide some negative feedback,1
hello again,1
your bot is really helpful,1
thanks for the help,1
whats the weather like today,0
im not sure i understand can you explain that,1
goodbye it was nice chatting with you,1
i had a great experience with your bot,1
can you suggest some ways to improve your service,1
yes im sure thats the best option,1
im not happy with the service i received,1
that sounds like a great idea,1
no im not interested in that,1
hi im looking for some information,1
id like to say goodbye,1
thanks for the suggestion,1
im just making small talk,0
it was nice talking to you take care,1
im sorry but i cant agree with that,1
what are you up to this weekend,0
i really appreciate your help youre amazing,1
this experience has been rather frustrating,1
could you explain how that works,1
i suggest we try a different approach next time,1
can we switch to spanish please,1
hi there nice to meet you,1
goodbye for now talk soon,1
youre welcome its my pleasure to assist,1
absolutely thats correct,1
im afraid i cant endorse that opinion,1
hows the weather where you are,0
youve done an excellent job in solving this issue,1
the process was quite confusing and slow,1
can you clarify what happens after this step,1
maybe we could simplify the process a bit,1
can we use french instead of english,1
hey hows your day going,1
hello there how can i assist you today,1
thanks for your help earlier i really appreciate it,1
goodbye for now see you later,1
yes i agree with you that sounds like a great idea,1
im afraid i cant do that its not possible,1
what do you think about the new movie so exciting,0
i love how responsive you are fantastic job,1
this process took way too long could it be faster,1
could you explain what you mean by automated handling,1
maybe you could simplify the steps to make it easier for users,1
hi im looking for help with my account setup,1
thank you so much youre a real lifesaver,1
see you soon have a great day,1
i completely understand and agree with your point,1
no im not interested in that deal its too risky,1
did you see the new gadgets on the market so cool,0
im really happy with how smooth this experience was,1
it was very confusing can you make it clearer next time,1
what do you mean by optimal settings could you clarify,1
perhaps you could add more visual aids to make it more userfriendly,1
can we use portuguese for this interaction that would be great,1
hello i need assistance with my order status,1
